[2018-06-03 21:17:07,006]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 21:17:07,020]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:17:07,024]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-03 21:17:07,041]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:17:07,045]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-03 21:17:07,309]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 21:17:10,885]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 21:17:11,148]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 21:17:14,112]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 21:17:18,999]-[log.py]-INFO:输入“用户名”
[2018-06-03 21:17:19,241]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 21:17:19,453]-[log.py]-INFO:性别选择“女”
[2018-06-03 21:17:19,704]-[log.py]-INFO:角色选择“销售”
[2018-06-03 21:17:19,967]-[log.py]-INFO:输入密码
[2018-06-03 21:17:20,213]-[log.py]-INFO:再次输入密码
[2018-06-03 21:17:20,584]-[log.py]-INFO:输入邮箱
[2018-06-03 21:17:20,899]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 21:17:21,399]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 21:17:24,468]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 21:17:24,845]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 21:17:25,289]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 21:17:25,302]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:17:25,305]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-03 21:17:25,323]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:17:25,326]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-03 21:17:25,504]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 21:17:29,051]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 21:17:29,301]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 21:17:31,987]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 21:17:36,935]-[log.py]-INFO:输入“用户名”
[2018-06-03 21:17:37,193]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 21:17:37,449]-[log.py]-INFO:性别选择“女”
[2018-06-03 21:17:37,701]-[log.py]-INFO:角色选择“销售”
[2018-06-03 21:17:38,094]-[log.py]-INFO:输入密码
[2018-06-03 21:17:38,358]-[log.py]-INFO:再次输入密码
[2018-06-03 21:17:38,735]-[log.py]-INFO:输入邮箱
